epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.89,1.31011,4.00069,1.47361,0.51071,0.07803,0.06399,0.04631,1.17928,2.75578,1.35469,0.000107569,0.000107569,0.000107569
2,282.419,1.24228,3.00257,1.4447,0.44629,0.11989,0.09248,0.06717,1.13004,2.24438,1.30595,0.000193927,0.000193927,0.000193927
3,414.324,1.19261,2.70769,1.40025,0.41711,0.14893,0.11567,0.0843,1.09474,2.13533,1.29157,0.000258968,0.000258968,0.000258968
4,548.909,1.14735,2.53239,1.37423,0.39017,0.19357,0.15413,0.11117,1.04482,1.9647,1.2575,0.000227069,0.000227069,0.000227069
5,681.259,1.10681,2.39354,1.34758,0.40234,0.21304,0.17288,0.12401,1.01635,1.87072,1.2205,0.000195092,0.000195092,0.000195092
6,812.961,1.07237,2.24608,1.31339,0.42134,0.24362,0.20273,0.1496,0.97826,1.80042,1.18554,0.000163115,0.000163115,0.000163115
7,948.287,1.03693,2.12751,1.28339,0.38911,0.26905,0.20831,0.15209,0.94959,1.78008,1.169,0.000131138,0.000131138,0.000131138
8,1085.19,1.00276,2.0336,1.26404,0.42529,0.24924,0.23434,0.17683,0.90896,1.67141,1.1345,9.9161e-05,9.9161e-05,9.9161e-05
9,1221.67,0.97599,1.93804,1.23612,0.38433,0.26636,0.23955,0.1805,0.89322,1.6606,1.12038,6.7184e-05,6.7184e-05,6.7184e-05
10,1357.66,0.95139,1.87217,1.2189,0.42329,0.27976,0.25002,0.18921,0.87668,1.60155,1.10665,3.5207e-05,3.5207e-05,3.5207e-05
