epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7026,1.24397,5.63848,1.21923,0.00988,0.27965,0.02221,0.019,1.0343,4.3944,1.05057,5.18267e-05,5.18267e-05,5.18267e-05
2,80.6796,1.16611,5.22655,1.17959,0.36859,0.05377,0.03281,0.02792,1.13004,3.96802,1.10297,0.000103621,0.000103621,0.000103621
3,119.492,1.2091,4.92065,1.19396,0.37337,0.0678,0.03514,0.02843,1.13593,3.69646,1.10578,0.00015521,0.00015521,0.00015521
4,158.106,1.19481,4.60111,1.19468,0.4702,0.04702,0.03475,0.02701,1.13441,3.51671,1.12435,0.000155073,0.000155073,0.000155073
5,197.054,1.18603,4.45264,1.1755,0.3713,0.11751,0.04977,0.04006,1.08489,3.4185,1.09922,0.000154764,0.000154764,0.000154764
6,236.348,1.16737,4.24349,1.16907,0.30312,0.12988,0.06555,0.05156,1.08864,3.32744,1.12133,0.000154456,0.000154456,0.000154456
7,274.627,1.16771,4.14461,1.18043,0.38084,0.13331,0.08136,0.06591,1.08804,3.24449,1.1035,0.000154147,0.000154147,0.000154147
8,313.313,1.15052,4.08365,1.16793,0.37315,0.17564,0.08784,0.06994,1.05179,3.15486,1.08829,0.000153838,0.000153838,0.000153838
9,352.366,1.13446,3.94246,1.14605,0.39794,0.17095,0.10254,0.08062,1.05279,3.09117,1.10574,0.000153529,0.000153529,0.000153529
10,392.433,1.12271,3.84725,1.14691,0.50635,0.14877,0.13362,0.11007,1.0642,3.01331,1.10941,0.00015322,0.00015322,0.00015322
11,432.708,1.1095,3.81897,1.14119,0.42246,0.14239,0.1038,0.0802,1.04302,3.02021,1.09711,0.000152911,0.000152911,0.000152911
12,472.186,1.07308,3.65585,1.12232,0.32872,0.12659,0.09546,0.07553,1.01179,3.06593,1.06119,0.000152602,0.000152602,0.000152602
13,510.825,1.11363,3.65229,1.11263,0.42181,0.11764,0.11219,0.09158,1.06672,2.95179,1.10987,0.000152293,0.000152293,0.000152293
14,550.476,1.1006,3.62421,1.11217,0.37228,0.17107,0.11397,0.09004,1.0583,2.93213,1.09828,0.000151985,0.000151985,0.000151985
15,589.473,1.09489,3.53657,1.11177,0.46554,0.10964,0.11158,0.08835,1.04508,2.98163,1.09762,0.000151676,0.000151676,0.000151676
16,628.078,1.08406,3.43342,1.11873,0.38409,0.11396,0.13001,0.09928,1.0613,2.93692,1.09114,0.000151367,0.000151367,0.000151367
17,666.949,1.06035,3.42997,1.09979,0.37191,0.15064,0.13749,0.11664,1.02261,3.04704,1.07756,0.000151058,0.000151058,0.000151058
18,703.67,1.06836,3.38997,1.10853,0.34451,0.16332,0.11551,0.09229,1.02865,3.03076,1.0807,0.000150749,0.000150749,0.000150749
19,740.394,1.04799,3.35014,1.09613,0.38245,0.14043,0.14145,0.11959,1.00306,2.86165,1.05464,0.00015044,0.00015044,0.00015044
20,776.433,1.05062,3.25224,1.1013,0.26039,0.17093,0.12579,0.10198,1.0096,2.99955,1.06977,0.000150131,0.000150131,0.000150131
21,814.812,1.05585,3.22135,1.10355,0.42977,0.15285,0.13041,0.10768,1.04597,2.88162,1.0946,0.000149822,0.000149822,0.000149822
22,854.073,1.04506,3.19668,1.07965,0.37586,0.19198,0.13409,0.10945,1.0469,2.83986,1.0927,0.000149514,0.000149514,0.000149514
23,892.396,1.05017,3.14288,1.09645,0.35346,0.17906,0.1525,0.12529,1.0468,2.92082,1.10906,0.000149205,0.000149205,0.000149205
24,928.749,1.01604,3.06504,1.0895,0.29528,0.21454,0.13489,0.10946,1.03341,2.82322,1.07382,0.000148896,0.000148896,0.000148896
25,967.327,1.01667,3.05154,1.06892,0.51121,0.1261,0.12894,0.10229,1.0361,2.84278,1.07914,0.000148587,0.000148587,0.000148587
26,1004.62,1.01512,2.9733,1.06143,0.32224,0.19424,0.15298,0.12052,0.98414,2.83299,1.05397,0.000148278,0.000148278,0.000148278
27,1041.81,1.01489,2.97576,1.05982,0.3213,0.18897,0.15274,0.13155,0.98165,2.80452,1.06153,0.000147969,0.000147969,0.000147969
28,1079.97,1.02171,2.93359,1.07277,0.34133,0.1969,0.15543,0.12935,1.03466,2.75257,1.085,0.00014766,0.00014766,0.00014766
29,1119.29,1.04242,2.94353,1.08402,0.3172,0.19914,0.16562,0.13822,1.0188,2.79664,1.0726,0.000147351,0.000147351,0.000147351
30,1158.81,1.00357,2.83957,1.06825,0.26632,0.18716,0.15099,0.12525,1.03349,2.93051,1.08877,0.000147042,0.000147042,0.000147042
31,1197.73,0.99091,2.7715,1.05311,0.42034,0.1392,0.15966,0.13404,1.00396,2.76554,1.07102,0.000146734,0.000146734,0.000146734
32,1236.11,0.98098,2.73767,1.05765,0.49617,0.15306,0.17847,0.15276,0.98318,2.79153,1.05336,0.000146425,0.000146425,0.000146425
