epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.0472,1.00576,4.70478,1.1722,0.49714,0.08771,0.06831,0.05763,0.84114,3.06304,1.01313,5.18267e-05,5.18267e-05,5.18267e-05
2,188.983,0.95183,3.39366,1.14586,0.46405,0.10473,0.08625,0.07212,0.89859,2.76001,1.12792,0.000102799,0.000102799,0.000102799
3,274.929,0.99145,3.06852,1.16462,0.52622,0.13792,0.10582,0.08741,0.92334,2.90018,1.0999,0.000152741,0.000152741,0.000152741
4,364.753,0.96784,2.84813,1.15573,0.48507,0.16662,0.13603,0.10903,0.94581,3.08654,1.15706,0.000151367,0.000151367,0.000151367
5,454.83,0.97343,2.64568,1.15706,0.4002,0.15983,0.15386,0.12876,0.92558,2.65014,1.12363,0.000149822,0.000149822,0.000149822
6,544.928,0.93971,2.5057,1.1447,0.36569,0.20741,0.18417,0.14958,0.91918,2.57092,1.15297,0.000148278,0.000148278,0.000148278
7,634.671,0.94151,2.41238,1.14958,0.50535,0.1796,0.18504,0.15233,0.90911,2.50559,1.1281,0.000146734,0.000146734,0.000146734
8,724.622,0.93251,2.31206,1.13358,0.42821,0.23996,0.19401,0.15831,0.86666,2.57387,1.09654,0.000145189,0.000145189,0.000145189
9,815.191,0.89435,2.19042,1.11909,0.35534,0.26547,0.23684,0.20392,0.84257,2.3278,1.10501,0.000143645,0.000143645,0.000143645
10,904.896,0.8711,2.08788,1.10614,0.51972,0.18272,0.22968,0.18959,0.86166,2.51814,1.1115,0.0001421,0.0001421,0.0001421
11,993.598,0.85802,2.01899,1.10694,0.29539,0.26973,0.23459,0.19767,0.84547,2.42237,1.11726,0.000140556,0.000140556,0.000140556
12,1083.4,0.83254,1.89664,1.088,0.34499,0.26268,0.22743,0.18181,0.88753,2.5202,1.13235,0.000139012,0.000139012,0.000139012
13,1173.4,0.8627,1.8812,1.07375,0.40155,0.21772,0.24837,0.21922,0.86145,2.47628,1.10792,0.000137467,0.000137467,0.000137467
14,1263.77,0.84637,1.77174,1.07542,0.48641,0.23291,0.2408,0.20225,0.82762,2.39568,1.07234,0.000135923,0.000135923,0.000135923
15,1353.42,0.80404,1.67038,1.04914,0.35872,0.25795,0.24658,0.21123,0.83061,2.30237,1.07302,0.000134378,0.000134378,0.000134378
16,1442.48,0.81589,1.6678,1.06927,0.33671,0.36433,0.289,0.24249,0.86179,2.40284,1.11101,0.000132834,0.000132834,0.000132834
17,1531.85,0.79912,1.56626,1.05046,0.49878,0.22608,0.26466,0.22265,0.84846,2.33374,1.10331,0.00013129,0.00013129,0.00013129
18,1621.55,0.79482,1.55085,1.06243,0.36049,0.23473,0.2272,0.18946,0.82952,2.56372,1.08545,0.000129745,0.000129745,0.000129745
19,1711.02,0.76925,1.528,1.04139,0.26224,0.32027,0.26672,0.21696,0.8362,2.31083,1.09828,0.000128201,0.000128201,0.000128201
20,1801.55,0.76016,1.44393,1.03684,0.39852,0.31439,0.28266,0.23847,0.81603,2.40646,1.07964,0.000126656,0.000126656,0.000126656
21,1891.56,0.76287,1.37121,1.03805,0.36047,0.28774,0.2528,0.2183,0.82198,2.27862,1.08463,0.000125112,0.000125112,0.000125112
22,1980.99,0.75082,1.29632,1.02043,0.26835,0.30767,0.23503,0.19575,0.81772,2.47415,1.08712,0.000123568,0.000123568,0.000123568
23,2070.24,0.75971,1.36109,1.02769,0.38958,0.26382,0.26685,0.21331,0.83987,2.43531,1.10011,0.000122023,0.000122023,0.000122023
24,2160.1,0.72953,1.27513,1.02288,0.44258,0.24445,0.28748,0.23347,0.82334,2.35858,1.07532,0.000120479,0.000120479,0.000120479
25,2250.18,0.72622,1.21903,1.01644,0.40546,0.2851,0.27861,0.22528,0.869,2.28505,1.11694,0.000118934,0.000118934,0.000118934
26,2340.5,0.71894,1.19005,1.00469,0.38133,0.2573,0.29239,0.23385,0.82135,2.26951,1.08505,0.00011739,0.00011739,0.00011739
27,2429.37,0.70857,1.13563,0.99574,0.42636,0.31695,0.28976,0.25177,0.80277,2.38684,1.08174,0.000115846,0.000115846,0.000115846
28,2518.44,0.71752,1.1207,1.00593,0.29746,0.28438,0.25279,0.21212,0.83224,2.44881,1.11047,0.000114301,0.000114301,0.000114301
29,2607.75,0.72962,1.09859,1.00532,0.3761,0.32251,0.28582,0.24365,0.83992,2.37321,1.12972,0.000112757,0.000112757,0.000112757
30,2696.33,0.69213,0.99839,0.99573,0.38341,0.25684,0.27006,0.22428,0.85656,2.41545,1.11739,0.000111212,0.000111212,0.000111212
31,2785.61,0.68395,1.01348,0.98147,0.3777,0.29298,0.30246,0.25348,0.83987,2.44687,1.08537,0.000109668,0.000109668,0.000109668
32,2874.48,0.66611,0.9975,0.98165,0.65599,0.20667,0.27369,0.23015,0.83179,2.60037,1.09999,0.000108124,0.000108124,0.000108124
33,2963.27,0.67819,0.9522,0.98204,0.38079,0.30719,0.28538,0.24315,0.84482,2.31399,1.12574,0.000106579,0.000106579,0.000106579
